Linear Greedy Val,Quadratic Greedy Val,Projected Subgradient Val,Linear Greedy Strategy,Quadratic Greedy Strategy,Projected Subgradient Strategy,x,y,u
0.12089568406448836,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[95.23741321897388, 95.2913928869577, 95.9015289088448, 24.35443348947263, 13.170569936031294, 75.09828259640804, 54.60878527483221, 54.006072129667174, 45.820011206795485, 82.04401664166467]","[1, 1, 1, 0, 1, 1, 0, 1, 0, 1]","[61.21721655459807, 33.23582826599926, 13.844768176492861]"
0.04590825608919874,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[71.50474252419068, 13.898213341713223, 48.428083821606016, 95.08916317876356, 50.071184009519634, 39.58138320616983, 56.244341693248124, 55.8411285747886, 31.91649876495067, 78.90231637477112]","[1, 0, 1, 1, 1, 0, 1, 1, 0, 0]","[25.632283144648184, 13.625506829767975, 31.71578236442787]"
0.20666074779208632,0.0,0.0,"[0.0, 1.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[65.07901170279266, 83.31597815240546, 83.7167676764205, 99.44849085665253, 17.22448614029009, 96.36703125842904, 41.74974714912633, 75.23029007306249, 18.308724947829226, 71.92937454317357]","[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[90.44607647903747, 92.36858180248815, 10.780279877371557]"
0.14072691945646487,0.0,0.0,"[0.0, 1.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[13.305049981363737, 67.23444697619783, 13.112590615632264, 30.52315409973862, 74.91380625213704, 19.70455290383317, 77.27566173478519, 25.942925278605266, 44.55400582473968, 13.487843098305262]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]","[4.972860750675134, 2.952680591201595, 82.50630740114913]"
0.03975146957964926,0.0,0.0,"[1.0, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[41.524370492236635, 76.2783422496512, 35.44040780380256, 67.69870692814659, 75.73454170523948, 88.99589808971693, 52.11751513674412, 66.22433990923017, 90.81829526719049, 27.184332226443942]","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[82.19362032298883, 53.68561935266243, 69.64737048732175]"
0.04058643686234095,0.0,0.0,"[0.0, 1.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[55.03909738138551, 57.38946675123555, 45.383501383570106, 74.00041198466019, 17.130161864297953, 27.901239830325427, 36.636156317767345, 67.1483598366878, 33.90800936870733, 95.9585826108262]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[11.881620122352077, 67.88065444825853, 77.52906906678447]"
0.16395098117473517,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[65.766585785058, 45.44975597722044, 17.74291445424126, 94.76693522266085, 28.34924258948779, 58.93549060303739, 91.80890605960886, 25.35306901022069, 33.58994763458662, 38.05096490129479]","[1, 0, 0, 0, 1, 1, 0, 1, 0, 1]","[3.496445753692645, 96.41127403762498, 71.6558723330752]"
0.1088008810646226,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[66.08887939148713, 46.21650598502435, 99.21828120988019, 82.10170295731633, 96.97959316872662, 18.33921235372156, 32.8455687037683, 61.21406175406165, 11.534081112043289, 45.25250726088666]","[1, 1, 0, 1, 0, 0, 0, 0, 0, 1]","[69.5866107329549, 16.542891306901954, 27.470467002348542]"
0.17809646652355515,0.0,0.0,"[0.0, 0.0, 1.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[46.1632817765057, 86.669487135168, 58.201023141237876, 31.885580127441482, 54.098184817431964, 13.844362585481802, 68.29044327081206, 13.326405435075289, 70.95611681137012, 27.699736391541336]","[1, 0, 1, 0, 1, 1, 1, 0, 0, 1]","[26.246376069720114, 41.82521510197863, 16.628853636721942]"
0.692930421362496,0.0,0.0,"[1.0, 0.0, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[77.27920353591004, 51.23848500334632, 77.17310740502967, 92.90529235876566, 77.53702200653142, 88.97472217151612, 91.22881711077719, 65.54235448346519, 97.79497393305974, 33.045843062646455]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 1]","[93.47867029279817, 48.04632235278942, 57.13124989319639]"
